image_path,tile_size,iterations,mean_accuracy,avg_preprocess_s,avg_classification_s,avg_postprocess_s,avg_total_s,total_time_5iter_s
test_images\Plant_tissue_sections_2_64x64.jpg,2x2,5,0.987,0.00,43.74,0.00,43.74,218.72
test_images\Plant_tissue_sections_2_64x64.jpg,4x4,5,0.986,0.00,42.08,0.00,42.09,210.43
test_images\Plant_tissue_sections_2_64x64.jpg,8x8,5,0.986,0.00,38.76,0.00,38.76,193.80
test_images\Plant_tissue_sections_2_64x64.jpg,16x16,5,0.986,0.00,41.37,0.00,41.38,206.88
test_images\Plant_tissue_sections_2_64x64.jpg,64x64,5,0.987,0.00,42.04,0.00,42.04,210.21
test_images\test_concentric_circles_64x64.png,2x2,5,0.996,0.00,44.22,0.00,44.23,221.15
test_images\test_concentric_circles_64x64.png,4x4,5,0.996,0.00,42.35,0.00,42.35,211.74
test_images\test_concentric_circles_64x64.png,8x8,5,0.997,0.00,39.18,0.00,39.18,195.92
test_images\test_concentric_circles_64x64.png,16x16,5,0.996,0.00,41.21,0.00,41.21,206.07
test_images\test_concentric_circles_64x64.png,64x64,5,0.996,0.00,41.73,0.00,41.73,208.66
