x,y,z,value,isolevel,classical_residual,quantum_ev,y_true,y_pred,abs_ev_err,abs_dist_to_iso,error_kind
9,15,14,0.4773793687398574,0.5,-0.022620631381869316,0.00930460333006855,1,0,0.03192523471193787,0.022620631260142576,false_inside
9,16,17,0.4773793687398574,0.5,-0.022620631381869316,0.000717188620607212,1,0,0.023337820002476528,0.022620631260142576,false_inside
10,12,15,0.4891915300538273,0.5,-0.010808469727635384,0.004868549172346692,1,0,0.015677018899982076,0.010808469946172683,false_inside
10,13,13,0.4891915300538273,0.5,-0.010808469727635384,0.0032524393294971476,1,0,0.014060909057132531,0.010808469946172683,false_inside
10,13,16,0.5263923573053851,0.5,0.026392357423901558,-0.0021797045289415617,0,1,0.02857206195284312,0.02639235730538514,false_outside
10,13,18,0.4891915300538273,0.5,-0.010808469727635384,0.012406947890818865,1,0,0.023215417618454248,0.010808469946172683,false_inside
10,16,19,0.4891915300538273,0.5,-0.010808469727635384,0.017041244751790585,1,0,0.02784971447942597,0.010808469946172683,false_inside
10,18,14,0.5136757969535651,0.5,0.013675796799361706,-0.0012336540833950416,0,1,0.014909450882756747,0.013675796953565134,false_outside
10,18,18,0.4891915300538273,0.5,-0.010808469727635384,0.01996549174266704,1,0,0.030773961470302424,0.010808469946172683,false_inside
10,19,14,0.4773793687398574,0.5,-0.022620631381869316,0.0004980079681274896,1,0,0.023118639349996806,0.022620631260142576,false_inside
11,16,11,0.5012833853592303,0.5,0.0012833853252232075,-0.016426082628173244,0,1,0.01770946795339645,0.001283385359230338,false_outside
11,16,20,0.5012833853592303,0.5,0.0012833853252232075,-0.002812939521800173,0,1,0.00409632484702338,0.001283385359230338,false_outside
11,17,11,0.4891915300538273,0.5,-0.010808469727635384,0.002426006792819013,1,0,0.013234476520454397,0.010808469946172683,false_inside
11,17,20,0.4891915300538273,0.5,-0.010808469727635384,0.0007442322004465041,1,0,0.011552701928081888,0.010808469946172683,false_inside
11,20,15,0.5012833853592303,0.5,0.0012833853252232075,-0.013665202537823218,0,1,0.014948587863046425,0.001283385359230338,false_outside
11,20,17,0.4891915300538273,0.5,-0.010808469727635384,0.0,1,0,0.010808469727635384,0.010808469946172683,false_inside
12,11,18,0.5136757969535651,0.5,0.013675796799361706,-0.029477334654446352,0,1,0.04315313145380806,0.013675796953565134,false_outside
12,21,14,0.4773793687398574,0.5,-0.022620631381869316,0.0034431874077717195,1,0,0.026063818789641036,0.022620631260142576,false_inside
